,Reviews
2660,"Quite possibly the worst business class I have ever flown in.  It barely rates as premium economy, and BA shouldn't be suggesting that they are offering premium seating on regional routes in Europe. On these routes, BA has crammed their seats so close together that the experience is like flying on a discount airline. Buyer beware, there is no point in upgrading to business class, other than ensuring the middle seat is empty and you and your bag can board first. The seats are extremely uncomfortable, and they can't really be reclined. There is no in flight entertainment; not even an app (which many discount airlines do use for regional flights). Once upon a time BA used to be a good airline, and maybe it still is for long-haul, but it's truly awful for short-haul (and is a five-hour flight actually short haul?). Might as well save some money and just book a cheaper airline. Staff are courteous and professional; the issue is the quality of the product for the price."
2661,"I will never be flying with BA again. This is my first and last. I was flying from Singapore, transit at Sydney and then to Auckland, my destination. Firstly, there was an hour delay for the flight from Singapore. That was fine, I received an email in advance and could just head over slightly later. I confirmed with the staff at Singapore that I'll make it just fine for my connecting flight since it was just an hour delay vs a few hours in transit. I arrived in Sydney, the flight was fine and the BA staff were decent. I knew that it was close to my boarding time and so I rushed through the checks to get to my international transit flight.  We were ushered downstairs to catch the shuttle bus. After queuing for such a long time, they scanned my boarding pass and said that I was taken off this flight (I was not notified prior) and had to find the transfer desk and request for a re-book of my connecting flight. I rushed over as quickly as I could to waste no time. The lady who was a Qantas rep told me that I needed to speak to a Menzies rep about this matter. She gave me instructions to find a Menzies rep. I rushed to the boarding gate of an Asiana flight to speak to a Menzies rep but they were busy boarding the passengers. So, I waited by the side for all the passengers to board, only to be told to head to another transfer desk to re-book my connecting flight. There were other disgruntled passengers when I arrived. The next available flight was at night. This meant that I arrived at 8+am at Sydney and had to wait for close to 12 hours to get on the next flight. As I did not have an Aussie visa (did not need one as per my booked flights), I was not granted a day stay and was given a meal voucher and was sent off to hunt for a good place to rest/sleep/nap. Many cafes and restaurants rejected my meal voucher by the way but I finally got food. Ultimately, my re-booked flight was delayed again by another 30mins. The stress, anxiety, fatigue and hassle caused by BA's poor re-booking system. I've filed a formal complaint and request for compensation and we're waiting to hear back."
2662,"On the my trip to Mexico City, I had the opportunity to experience BA long-haul business class for the first time and it was extremely underwhelming. First of all, boarding to our flight to Mexico city was done with buses. Every inch of the bus was filled with passengers and we couldn't even breath. The Club World experience is not personalised and it doesn't make you feel special. The flight crew were giving the welcome drinks as if giving free food at a food bank and I wasn't offered a non-alcoholic choice due to sitting on the last row of business class cabin. The same rude serving attitude happened when the flight attendant was serving ice-cream mid-flight on the way out. He literally threw the ice cream to my head as I was in the middle seat that is covered from all sides that makes flight attendants hard to reach.  The most striking issue with the cabin is the state that the seats are in. They were their old style yin-yang seats and they looked pretty old, with no storage space, and most functionalities are working with a struggle. My entertainment screen was not working well and it was quite unstable. When the flight attendants were playing the security on my way out, neither of the seats in my area playing the safety video and the flight attendants had to re-demonstrate the security instructions manually. On the way in, the crew opened my screen for security demonstration but it kept closing in. When I asked if there is a way to keep the screen open, the flight attendant joked saying ""I will tell the pilot to fly with an angle so that the screen is pulled down and it will stay open"".  I found this attitude unacceptable. The screens were old and bad quality.  I was quite underwhelmed by the food provided on board. They looked great on menu card but were quite bad when they are served.I would not recommend BA business class product based on this experience."
2663,"I upgraded at check in to Club Europe seat 1D and had an excellent experience with BA. The check-in at the airport was very quick and smooth, with friendly staff. Once through the fast track I headed for the Galleries lounge at LHR T3 and this exceeded my expectations. The food was really good and I had a superb view out over the runway. The flight was great. Some people have remarked that legroom isn’t good even in Club Europe but I found it fine for a 2 hour flight. ‘Afternoon tea’ was delicious. Cabin crew were excellent. I was out the airport in about 10 minutes from landing. BA did a superb job on this flight."
2664,"I bought a return trip with BA, through Webjet Australia last year. I would fly from Sydney to Porto middle of June with no problem. But I had to return earlier to Australia. So I requested a change in the dates from March to January. I should point out that BA partners changed the details of the return flight many times. That is not a problem. The problem is that although I was flexible with the dates they refused to fly me back. I had to buy a ticket from another company to travel to Australia. Later I asked for a change of the return date to January of next year. Again that was turned down. I will keep in mind this negative experience with BA when booking future trips."
2665,"Poor from start to finish. Six months after purchasing our tickets I added an extra bag at the exorbitant cost of £130, but this transaction failed to make the system. I rang BA customer services only to be cut off without a reply. At LHR a manager had to be summoned to verify my printed receipt of payment. I was assured there would be no problem on the return trip. Wrong. Same experience at LIS! On board, an hour delay because of late discovery of technical fault. Old plane, with an uncomfortable seat with minimal legroom. Soggy cookie and small bottle of water offered free. Return trip, even more uncomfortable seat, made worse by the extra recline the passenger in front of me enjoyed due to his knackered seat. Once upon a time BA stood for something. No longer. Next time it is TAP, with their much newer planes."
2666,"Communication and customer service non existent, they make me pay for seat on my return flight from Madrid to London, where didn’t should be as my ticket was premium economy. On the time of check in just was able do BA-MAD but to not MAD-LHR just in Madrid they issued boarding pass changed my seat from 5F to 19F worst seat ever, explained rudeness on Madrid - plane changed. That section is Business and you are premium only, we send you to the back,, no apologies, no answer complaints, low cost airlines treat you better, refund of seat received but zero apologies."
2667,That was supposed to be my flight but it was cancelled 12 hours before takeoff. After nearly 4 months BA finally responded to my compensation claim confirming I was due statutory compensation. Another 2 months later and still not received it despite chasing. According to BA my bank must have lost the payment so now apparently my problem again. From my experience a once great airline now with customer service no better than the worst of the low cost carriers.
2668,Have no fear when your BA flight is operated by Finnair. The business class seats offer more leg room than the BA offering and the service just could not have been better. Food (BA) was good too. Excellent flight arriving so much ahead of schedule that there was a delay disembarking as there was no one available at LHR to pilot the bridge.
2669,"We have flown BA five times from western USA to England. Always decent service. Never again. If you have a problem their website is impossible to navigate. It’s terrible,  takes you in endless repeating circles and loops that never lead to any resolutions. They lost our suitcase. We spent hours upon our arrival in Lisbon trying to navigate their website. It was frustrating and fruitless. Three days into our trip and we still are waiting for our clothing and toiletries and electronics. Can we talk to a real person? No. It’s impossible. We have even quit thinking about the $396 we spent to secure seats in Economy that turned out to have no extra legroom. We paid $400 extra for nothing. We are done with BA. Whoops, not quite. We still have to get home."
2670,"London Heathrow to Istanbul at the start of the half-term school holidays and so the flight was very busy indeed. Boarding was quite well managed with neatly presented and pleasant gate agents one of whom went out of her way to assist an elderly passenger with mobility issues. I felt singled out by a member of the BA crew who insisted that my small bag was taken and checked-in. Other passengers had large bags and were not stopped from taking them onto the flight. During the flight I felt that a staff member was very unprofessional towards me. I had an aisle seat and he spoke at length to the couple sitting next to me about their country of origin. I may as well have been invisible. The same member of the cabin crew then disappeared and returned with a selection of drinks and snacks from Business class for his compatriots. He managed to spill some liquid on me and did not even acknowledge me.  The A320 was clean, no IFE and not even a route-map to follow the journey. It was a rather clinical flight and exceptionally basic. I received a small bottle of water and two broken digestive biscuits. The wifi did not work and the ridiculous skyshop was not accessible either. I asked for a coffee and the cabin crew member kissed his teeth at me. Is this how low BA has fallen? I also noted tension between the same member of the cabin crew and 2 of his colleagues. This is not good enough. Disembarkation was remarkably orderly and civilized and the captain made an effort to engage with passengers during the flight with sensible updates."
2671,"Jan 30th, I booked a last-minute, transatlantic flight to Ireland to attend a funeral for a close friend of mine. So, the nature of the trip was bad enough as it was. It was not a vacation for me. On the transatlantic leg of the flight, BA was the airline. It was a terrible experience. A baby was crying right next to me for a good portion of the flight. That’s not BA’s fault, but just to continue to set the stage. Mid-flight they had to close both the bathrooms in the middle of the plane. I was in seat 16J, right behind one of the bathrooms. They both started leaking sewage into the passenger compartment. I could see the water coming toward me and soon it was under my feet. As you can imagine, it didn’t smell great. It made a bad trip worse and got all over a new pair of boots. I contacted BA about this and explained in great detail what had happened. Their response was essentially, “Sorry about that”. I contacted them again to verify that this was the formal response. They responded by offering me a 50 euro voucher to use on a future BA flight, which has very little value to me, if any. I contacted them again, giving them another chance to make it right. Nothing. It’s not their fault that there was a screaming baby, nor is it their fault that the restrooms overflowed, created a disgusting mess, and soiled my boots. It is their fault that they made no effort to make it right. This is not just an inconvenience. It's a health and safety issue. As far as I can tell, I’m the only one who got sewage under my feet. I think this is completely unacceptable and will do everything I can to avoid flying BA in the future."
2672,"I am a British Airways Gold Guest List member (with Lifetime privileges). In spite of that I have given up Britsh wherever possible. I take ten or more trans ocean trips a year. I am fortunate to be able to fly First Class - unfortunately British no longer has a First Class product - the sell one by that name at First Class prices but in fairness deliver what you would consider a very good Business Class experience. I should point out that there are airlines who sell Business Class that in fact are better than any British First Class experience (Qatar, Emirates). I have flown many millions of miles on British. Last week I completed an around the world trip on Emirates and Qantas all A380. In the millions of BA miles I never had an experience as good as what I experience on EK and Qantas. A very long time ago the food and beverage service on BA was truly extraordinary - today it would be a bit of a stretch to even call it ordinary - so sad a decline. Seat comfort (in First), lounges food, beverage all need serious rework. If you are a First Class traveler British is just not an option. Sad, truly sad."
2673,"Another case of reviewing British Airways flights that they have not actually provided. I booked several months ago for London to Casablanca via Madrid (with the Madrid to Casablanca leg on Iberia), returning from Marrakech direct on BA. First the Marrakech flight was cancelled, so I had to rebook on Royal Air Maroc. Now BA has changed the London to Madrid leg to be operated by Iberia. So, instead of my booking through ba.com having 2 out of 3 legs operated by BA, I now have none of them being BA flights - and they did not transfer my paid-for seat selection on London to Madrid, so I have got to arrange a refund of the payment. What is the point of an airline offering a service and taking your money for that service, only to decide later that they cannot be bothered to provide what you have paid for in good faith? Only giving 1 out of 10 because I cannot mark it as zero to reflect the zero service received."
2674,"On the memorable day of January 9th, my family and I embarked on a journey from London Heathrow, Terminal 5, destined for Glasgow. Little did we anticipate the series of events that would unfold, shaping our travel experience into a tale of exceptional service and unwavering dedication. As we navigated the bustling corridors of the airport, our journey encountered an unexpected hurdle. It was at this juncture that I found myself grappling with booking complications, compounded by banking delays. Amid this quandary, I sought assistance from British Airways personnel at Terminal 5, hoping to salvage our travel plans. Enter Mr. Sathies, a beacon of hope amidst the chaos. With a demeanour exuding empathy and professionalism, Mr. Sathies swiftly assessed the situation at hand. Despite the setback, he wasted no time in springing into action, exploring every avenue to mitigate the impact of the unforeseen challenges we faced. The sequence of events unfolded with remarkable clarity as Mr Sathies tirelessly liaised with various stakeholders, including senior colleagues and his managerial counterpart, Mr Gurvir Singh Dhillon. Their collaborative efforts culminated in a solution that exceeded all expectations. Through Mr. Sathies' unwavering dedication and Mr. Gurvir Singh Dhillon's steadfast support, our travel arrangements were salvaged without incurring any additional costs. Despite the initial uncertainty, my family and I were able to proceed with our journey, embarking on our flight to Glasgow with a renewed sense of gratitude and appreciation for the exceptional service rendered by British Airways. As I reflect upon the precise sequence of events that transpired on that fateful day, I am filled with profound gratitude towards Mr. Sathies, Mr. Gurvir Singh Dhillon, and the entire British Airways team. Their meticulous attention to detail and unwavering commitment to customer satisfaction reaffirmed my faith in British Airways as a paragon of excellence within the aviation industry."
2675,"I did not actually get to fly with BA as they cancelled the flight with 3 days notice and refused to offer an acceptable alternative, resulting in 2 people losing their holiday (a river cruise). Since then, as appears to be their standard protocol, they have ignored every communication regarding their obligations for compensation and I have no option but to pursue them via official channels."
2676,"We had possibly the worse check-in experience ever this ever. It took nearly 50 minutes of phone calls and numerous staff to check us in for a redemption flight through our account. Utterly bizarre situation for a procedure we’ve done without hitch for the last 20 years. Once onboard we were so disappointed to have the old style Club World seats that meaning stepping over your fellow passengers to use the toilets. Why on earth are these still in use they feel so dated. The saving grace, as is quite often the case, was some fabulous cabin crew that were amazing. I have fed back to BA direct to sing their praises. Fingers crossed for the return leg."
2677,"I flew to LHR from ATH in Club Europe with BA641 on Dec 31 to transfer to a JAL flight back to Tokyo. At first, I had no great expectations of what services I would enjoy on board, partly because its flight time was less than 4 hours and because the seat configuration of Club Europe was the typical European Business Class with the middle seat empty. Afterward, on board, remembering that I took the same route with BA more than 30 years ago, I got to feel relaxed by their unobtrusive and courteous services. When I asked for a champagne refill a couple of times, a benign smile would come to me."
2678,"I like the British Airways World Traveller Plus product. The seats are comfy and the food is good. The crew on this flight were very attentive and friendly especially the CSM who came round and introduced herself to us and made sure we were comfortable. The bars closed half way through the flight to Cancun as they can’t uplift more alcoholic drinks in Cancun. Juice, water, tea and coffee is available. Very full flight. My only criticisms of British Airways Premium Economy is that it feels like they actively try and split families up unless they pay the £100 each to pre book seats. The majority of drinks are served in plastic not glass. There were no inflight snacks available on an 11 hour flight. It’s an upgraded version of Economy, where as other airlines like Qantas and Singapore Airlines are Business minus. Still worth the extra though."
2679,"I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!"
2680,"Stinking nappies being changed in business cabin throughout flight to Miami. Four of us from one family were travelling British Airways business. I am a British Airways gold card member. I have been a member of British Airways Executive Club since 1979. We only ever fly British Airways, in first class or business class. It has become a habit to fly BA and we do this because we trust them for safety. We have regular long haul flights booked with British Airways in both first and business into next year. We often fly to the USA. Both my wife and I used to have Virgin Atlantic gold cards however we sadly returned to BA because Virgin did not have a first class seat product. Even so the service from virgin’s gold card department was off the scale, absolutely brilliant and we loved the Virgin lounge at Heathrow. Our flight to Miami with British Airways was on one of their double decker aircraft. These are just too big and I believe contributed to the appalling service. Perhaps familiarity breeds contempt however, whether in business or first, I now view BA aircraft as just being dirty buses in the sky. The food is not much better. However, our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies, changing nappies within the business class cabin, instead of doing it where they should be doing it, in the WC. Try enjoying lunch with a glass of wine with air around permeated by the smell of poo. There must have been three or four babies, having nappies changed regularly in our cabin. I can put up with the screaming because that can’t be helped, but not poo. Cabin crew did nothing about it, despite being asked. I Telephoned BA customer services and ended up speaking to a lady in Manchester BA office who told me that she was BA cabin crew for many years. She told me that changing nappies in the cabin should not be allowed, that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal. My wife and I are flying first class British Airways again to the USA in April and we also have first class tickets to the USA booked for December. I sent in a complaint to BA customer relations on behalf of all four members of my family who travelled British Airways on December 19 to Miami from LHR and had to put up with the disgusting smells which at times were quite dreadful. I received a response offering a £300 voucher or 30,000 Avios. so, given the cost of four business class flights to Miami from London, British Airways value the loss of enjoyment through travelling in a stinking cabin, at £75 per passenger! Given that I am a gold card holder, an extremely good customer, clearly in the top one percent of all BA customers and a gold cardholder, if that is how they behave with me, God knows how they behave with everybody else. All I can tell you is that flying with Virgin Atlantic when I was a Gold member was highly positive. When our children were young, we used to fly BA first class at times and we would not dream of changing a nappy in the cabin! Not in any cabin! When I complained to British Airways, I asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question. I have numerous business class flights booked with BA over the course of the next 12 months as well as first class flight booked."
2681,Worst service ever. Lost baggage because of delayed flight and missed connection and no one is helping to get it back. British Airways website is broken so it doesn’t let me fill missing report and doesn’t give me missing file report number and so no way to contact British Airways because they have dumbest ever AI chatbot.
2682,"BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for."
2683,"Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2."
2684,"I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids."
2685,"I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us."
2686,"Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid."
2687,The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.
2688,"Overall journey wasn’t bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn’t arrived. They raised their hands saying they can’t do anything further. Poor communication and no customer facing skills."
2689,"Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck."
2690,"As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA’s total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food!"
2691,First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife’s special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi.
2692,"Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention."
2693,"My son and I flew to Geneva last Sunday for a skiing holiday in Les Arc. The flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later, that then got delayed by a further three hours. They didn't load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight. Problems happen, it's a complex operation. What is totally unacceptable is the service one receives when there is a problem. The offshore call centres are unhelpful and obstructive, wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off. The web pages are often unable to give information as they are not updated and often refuse to update your inputs 'at this time. please try again later'. There is no access to people that are willing to help, empowered to help, or actually move a situation forwards in any way. We've been sitting in a hotel waiting for the bag to arrive for two and a half days, unable to ski due to our entire wardrobes being in the cases. The outdated luggage 'tracking system', had the suitacase in Geneva 2 days ago, where it sat with no-one willing to step up and get it delivered. What an incredibly heartless and incompetent company."
2694,"For the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). Fast track through security was not honoured. The lounge at Istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. Boarding was smooth, cabin crew were friendly but their service was hit-and-miss. Eg. Some people got a “welcome” and some didn’t; Half of the cabin was automatically offered coffee after dinner but not the other half. However, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu)."
2695,"Flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). The flight was full but no catering had been loaded for economy passenger at Heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. Nothing at all available to even buy to eat! Worse than a low-cost carrier experience in this sense. One of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). I would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin."
2696,"Very Poor Business class product, BA is not even close to the other airline leaders. Which ever way they sell the seat on a 777 it is a 2-4-2 layout. The cabin feels and is very cramped. The food in business class is economy quality just served in a china dish! However, the price of course is at premier levels. The only positive of the whole fight and return were the cabin crew who were fantastic. I felt genuinely sorry for them having to try and flog such a poor product. Would I fly BA business again? only if their were no other options and I had no choice."
2697,"This review is for LHR-SYD-LHR. BA015 and BA016. Business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. Seat reclines into comfortable flat bed. Good quality pillow and duvet. Privacy with sliding door. Good storage space around the seat and charging point. Flights on time - no delays. Gluten free meals were very poor in quality and presentation. Warm processed meat between two bland slices of GF bread apparently is a business class breakfast. On two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? Condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. One crew member appeared genuinely apologetic as they meekly served one meal. Do BA also serve the same GF offering in economy, economy plus and first on a long haul flight? My advice if GF - take your own food or dine in the lounge if you are in the care of BA for 24 hours. My travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. Usual hospitality industry waffle about service but little of substance delivered."
2698,"Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain."
2699,"Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again."
2700,"The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution."
2701,"Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone."
2702,"Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service."
2703,"This is a route I fly regularly. Used first class security and lounge all good. Lounge surprisingly not so busy. Was great to see we weren't departing from the dreaded A10 bus gate, and the flight was on time. Boarded and ready to go on time and then.... Six passengers were a no show. A 50 minute delay to offload the bags and depart, longer than the actual flight itself. There has to be a better process for fast tracking this. Hence finally arrived in Paris 45 mins late. On the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days."
